Cliente;Descrição;CNPJ;ISIN;Qtd.;Valor Nominal;Rendimiento;Valor Bruto;IRRF;IOF;Valor Líquido;% s/Seg;% s/PL
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1046227,62;-;1046227,62;0,00;0,00;1046227,62;5,77296146585617E-6;3,008759382
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1046227,62;-;1046227,62;0,00;0,00;1046227,62;1,29176001674903E-5;3,008759382
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1047374,56;-;1047374,56;0,00;0,00;1047374,56;5,77929014643875E-6;3,008249782
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1047374,56;-;1047374,56;0,00;0,00;1047374,56;1,29317612468318E-5;3,008249782
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1048417,26;-;1048417,26;0,00;0,00;1048417,26;5,78504364291062E-6;3,008128558
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1048417,26;-;1048417,26;0,00;0,00;1048417,26;1,29446352920559E-5;3,008128558
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1049024,24;-;1049024,24;0,00;0,00;1049024,24;5,78839288745699E-6;3,007348897
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1049024,24;-;1049024,24;0,00;0,00;1049024,24;1,29521295741794E-5;3,007348897
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1049181,06;-;1049181,06;0,00;0,00;1049181,06;5,78925820184917E-6;3,008494121
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1049181,06;-;1049181,06;0,00;0,00;1049181,06;1,29540658048997E-5;3,008494121
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1049672,51;-;1049672,51;0,00;0,00;1049672,51;5,79196996538719E-6;3,009049668
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1049672,51;-;1049672,51;0,00;0,00;1049672,51;1,29601336571347E-5;3,009049668
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1049752,28;-;1049752,28;0,00;0,00;1049752,28;5,79241012690399E-6;3,006698707
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1049752,28;-;1049752,28;0,00;0,00;1049752,28;1,29611185641909E-5;3,006698707
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1050144,82;-;1050144,82;0,00;0,00;1050144,82;5,79457611664703E-6;3,007682582
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1050144,82;-;1050144,82;0,00;0,00;1050144,82;1,2965965190941E-5;3,007682582
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1050441,2;-;1050441,2;0,00;0,00;1050441,2;5,79621150677299E-6;3,008451754
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1050441,2;-;1050441,2;0,00;0,00;1050441,2;1,29696245460034E-5;3,008451754
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1050459,28;-;1050459,28;0,00;0,00;1050459,28;5,79631127009533E-6;3,006073019
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1050459,28;-;1050459,28;0,00;0,00;1050459,28;1,29698477767866E-5;3,006073019
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1050614,01;-;1050614,01;0,00;0,00;1050614,01;5,7971650521123E-6;3,007794734
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1050614,01;-;1050614,01;0,00;0,00;1050614,01;1,2971758202621E-5;3,007794734
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1050780,26;-;1050780,26;0,00;0,00;1050780,26;5,79808240013997E-6;3,01237631
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1050780,26;-;1050780,26;0,00;0,00;1050780,26;1,29738108639987E-5;3,01237631
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1050982,51;-;1050982,51;0,00;0,00;1050982,51;5,79919839195107E-6;3,009303973
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1050982,51;-;1050982,51;0,00;0,00;1050982,51;1,29763080114491E-5;3,009303973
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1052275,46;-;1052275,46;0,00;0,00;1052275,46;5,80633273861196E-6;3,011365512
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1052275,46;-;1052275,46;0,00;0,00;1052275,46;1,29922718522207E-5;3,011365512
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1052605,45;-;1052605,45;0,00;0,00;1052605,45;5,80815358478129E-6;3,01416001
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1052605,45;-;1052605,45;0,00;0,00;1052605,45;1,29963461844194E-5;3,01416001
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1053715,05;-;1053715,05;0,00;0,00;1053715,05;5,81427622761738E-6;3,014179129
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1053715,05;-;1053715,05;0,00;0,00;1053715,05;1,30100462329288E-5;3,014179129
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1055062,45;-;1055062,45;0,00;0,00;1055062,45;5,82171102300072E-6;3,013126008
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1055062,45;-;1055062,45;0,00;0,00;1055062,45;1,30266823588854E-5;3,013126008
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1055647,25;-;1055647,25;0,00;0,00;1055647,25;5,82493788090496E-6;3,013912278
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1055647,25;-;1055647,25;0,00;0,00;1055647,25;1,30339027882008E-5;3,013912278
WESTERN - IAJA WA 4 FICFI RENDA FIXA CP;WE ASSET INF II RFFI;05092294000142;BRIFIICTF006;114,2066;1055743,74;-;1055743,74;0,00;0,00;1055743,74;5,82547030142339E-6;3,016403395
